Date,Open Price (USD),High Price (USD),Low Price (USD),Close Price (USD),Volume
2024-04-02,3505.87,3507.46,3215.87,3278.03,29397.83774852
2024-04-03,3278.75,3366.96,3206.01,3312.28,15473.19415165
2024-04-04,3310.72,3443.76,3255.1,3329.56,19250.67567578
2024-04-05,3329.57,3345.0,3212.11,3320.55,17810.20211392
2024-04-06,3320.55,3397.06,3310.0,3354.95,6390.46334567
2024-04-07,3354.94,3458.66,3348.7,3454.03,6845.35118961
2024-04-08,3454.06,3726.84,3409.41,3694.38,28896.03745765
2024-04-09,3694.38,3726.79,3451.02,3505.69,24096.59419218
2024-04-10,3505.68,3559.3,3408.01,3543.42,17898.58678571
2024-04-11,3543.42,3614.88,3476.2,3505.25,12248.98148627
2024-04-12,3505.24,3551.15,2926.93,3240.1,35274.23894117
2024-04-13,3240.11,3300.09,2537.0,3013.12,46924.29162845
2024-04-14,3011.42,3173.4,2913.43,3155.99,17201.9156719
2024-04-15,3156.0,3278.53,3026.0,3101.38,27281.82597592
2024-04-16,3101.38,3127.57,2987.26,3084.92,20070.58524244
2024-04-17,3084.92,3121.54,2914.34,2985.4,20766.74960597
2024-04-18,2985.4,3094.49,2955.19,3064.51,12129.43746245
2024-04-19,3064.51,3125.46,2867.0,3058.52,17117.99544752
2024-04-20,3058.52,3169.99,3021.63,3157.67,5455.32879113
2024-04-21,3157.81,3197.14,3120.0,3148.05,7615.20164802
2024-04-22,3148.31,3234.55,3130.05,3202.0,11858.88467609
2024-04-23,3202.0,3263.55,3154.0,3220.02,14787.82593007
2024-04-24,3220.0,3291.64,3105.75,3138.84,10404.8589817
2024-04-25,3139.11,3190.86,3074.39,3155.68,9692.8760516
2024-04-26,3155.63,3166.13,3102.55,3129.96,9823.74431079
2024-04-27,3129.96,3279.31,3070.34,3252.62,9198.94010367
2024-04-28,3252.63,3355.9,3250.0,3262.02,7973.17094111
2024-04-29,3262.03,3285.23,3113.7,3216.18,12463.30004485
